Date (month/day/year),Time (UTC),Latitude,Longitude
10/27/2009,2:37:47 PM,47.58137,-122.33947
10/27/2009,2:37:52 PM,47.58038,-122.33947
10/27/2009,2:37:57 PM,47.57935,-122.33947
10/27/2009,2:38:02 PM,47.57838,-122.33948
10/27/2009,2:38:07 PM,47.57742,-122.33953
10/27/2009,2:38:12 PM,47.57645,-122.33953
10/27/2009,2:38:17 PM,47.57548,-122.33953
10/27/2009,2:38:22 PM,47.57457,-122.33953
10/27/2009,2:38:27 PM,47.57363,-122.33953
10/27/2009,2:38:32 PM,47.57267,-122.33953
10/27/2009,2:38:37 PM,47.57173,-122.33953
10/27/2009,2:38:41 PM,47.57080,-122.33953
10/27/2009,2:38:46 PM,47.56987,-122.33953
10/27/2009,2:38:51 PM,47.56895,-122.33953
10/27/2009,2:38:56 PM,47.56803,-122.33952
10/27/2009,2:39:01 PM,47.56712,-122.33948
10/27/2009,2:39:06 PM,47.56627,-122.33948
10/27/2009,2:39:11 PM,47.56537,-122.33953
10/27/2009,2:39:16 PM,47.56453,-122.33953
10/27/2009,2:39:21 PM,47.56373,-122.33953
10/27/2009,2:39:26 PM,47.56298,-122.33953
10/27/2009,2:39:31 PM,47.56228,-122.33953
10/27/2009,2:39:36 PM,47.56158,-122.33952
10/27/2009,2:39:41 PM,47.56075,-122.33948
10/27/2009,2:39:46 PM,47.55985,-122.33948
10/27/2009,2:39:51 PM,47.55893,-122.33953
10/27/2009,2:39:56 PM,47.55807,-122.33945
10/27/2009,2:40:01 PM,47.55722,-122.33912
10/27/2009,2:40:06 PM,47.55640,-122.33868
10/27/2009,2:40:11 PM,47.55557,-122.33823
10/27/2009,2:40:16 PM,47.55475,-122.33780
10/27/2009,2:40:21 PM,47.55392,-122.33735
10/27/2009,2:40:26 PM,47.55310,-122.33692
10/27/2009,2:40:31 PM,47.55233,-122.33650
10/27/2009,2:40:36 PM,47.55178,-122.33622
10/27/2009,2:40:41 PM,47.55148,-122.33605
10/27/2009,2:40:46 PM,47.55125,-122.33595
10/27/2009,2:40:51 PM,47.55078,-122.33570
10/27/2009,2:40:56 PM,47.55028,-122.33545
10/27/2009,2:41:01 PM,47.54978,-122.33518
10/27/2009,2:41:06 PM,47.54918,-122.33485
10/27/2009,2:41:11 PM,47.54847,-122.33447
10/27/2009,2:41:16 PM,47.54763,-122.33418
10/27/2009,2:41:21 PM,47.54675,-122.33412
10/27/2009,2:41:26 PM,47.54587,-122.33413
10/27/2009,2:41:31 PM,47.54500,-122.33415
10/27/2009,2:41:36 PM,47.54420,-122.33423
10/27/2009,2:41:41 PM,47.54352,-122.33438
10/27/2009,2:41:46 PM,47.54287,-122.33460
10/27/2009,2:41:51 PM,47.54217,-122.33483
10/27/2009,2:41:56 PM,47.54148,-122.33503
10/27/2009,2:42:01 PM,47.54078,-122.33520
10/27/2009,2:42:06 PM,47.54008,-122.33523
10/27/2009,2:42:11 PM,47.53953,-122.33522
10/27/2009,2:42:16 PM,47.53905,-122.33517
10/27/2009,2:42:21 PM,47.53845,-122.33513
10/27/2009,2:42:26 PM,47.53792,-122.33508
10/27/2009,2:42:31 PM,47.53743,-122.33505
10/27/2009,2:42:36 PM,47.53680,-122.33502
10/27/2009,2:42:41 PM,47.53613,-122.33500
10/27/2009,2:42:46 PM,47.53553,-122.33497
10/27/2009,2:42:51 PM,47.53507,-122.33497
10/27/2009,2:42:56 PM,47.53473,-122.33498
10/27/2009,2:43:01 PM,47.53435,-122.33528
10/27/2009,2:43:06 PM,47.53420,-122.33598
10/27/2009,2:43:11 PM,47.53445,-122.33672
10/27/2009,2:43:16 PM,47.53503,-122.33703
10/27/2009,2:43:21 PM,47.53575,-122.33708
10/27/2009,2:43:26 PM,47.53640,-122.33705
10/27/2009,2:43:31 PM,47.53713,-122.33702
10/27/2009,2:43:36 PM,47.53800,-122.33703
10/27/2009,2:43:41 PM,47.53882,-122.33707
10/27/2009,2:43:46 PM,47.53935,-122.33688
10/27/2009,2:43:51 PM,47.53945,-122.33668
10/27/2009,2:43:56 PM,47.53943,-122.33668
10/27/2009,2:44:01 PM,47.53943,-122.33670
10/27/2009,2:44:06 PM,47.53942,-122.33670
10/27/2009,2:44:11 PM,47.53940,-122.33668
10/27/2009,2:44:16 PM,47.53938,-122.33668
10/27/2009,2:44:21 PM,47.53938,-122.33668
10/27/2009,2:44:26 PM,47.53938,-122.33665
10/27/2009,2:44:31 PM,47.53947,-122.33627
10/27/2009,2:44:36 PM,47.53922,-122.33552
10/27/2009,2:44:41 PM,47.53863,-122.33478
10/27/2009,2:44:46 PM,47.53788,-122.33433
10/27/2009,2:44:51 PM,47.53713,-122.33402
10/27/2009,2:44:56 PM,47.53642,-122.33370
10/27/2009,2:45:01 PM,47.53577,-122.33340
10/27/2009,2:45:06 PM,47.53522,-122.33310
10/27/2009,2:45:11 PM,47.53490,-122.33287
10/27/2009,2:45:16 PM,47.53473,-122.33278
10/27/2009,2:45:21 PM,47.53473,-122.33278
10/27/2009,2:45:26 PM,47.53473,-122.33280
10/27/2009,2:45:31 PM,47.53473,-122.33280
10/27/2009,2:45:36 PM,47.53473,-122.33280
10/27/2009,2:45:41 PM,47.53473,-122.33280
10/27/2009,2:45:46 PM,47.53475,-122.33280
10/27/2009,2:45:51 PM,47.53475,-122.33278
10/27/2009,2:45:56 PM,47.53475,-122.33278
10/27/2009,2:46:01 PM,47.53463,-122.33268
10/27/2009,2:46:06 PM,47.53427,-122.33233
10/27/2009,2:46:11 PM,47.53377,-122.33188
10/27/2009,2:46:16 PM,47.53322,-122.33135
10/27/2009,2:46:21 PM,47.53263,-122.33075
10/27/2009,2:46:26 PM,47.53188,-122.33007
10/27/2009,2:46:31 PM,47.53102,-122.32922
10/27/2009,2:46:36 PM,47.53017,-122.32837
10/27/2009,2:46:41 PM,47.52930,-122.32752
10/27/2009,2:46:46 PM,47.52843,-122.32665
10/27/2009,2:46:51 PM,47.52750,-122.32570
10/27/2009,2:46:56 PM,47.52657,-122.32477
10/27/2009,2:47:01 PM,47.52567,-122.32385
10/27/2009,2:47:06 PM,47.52468,-122.32287
10/27/2009,2:47:11 PM,47.52370,-122.32188
10/27/2009,2:47:16 PM,47.52275,-122.32092
10/27/2009,2:47:21 PM,47.52182,-122.31987
10/27/2009,2:47:26 PM,47.52093,-122.31875
10/27/2009,2:47:31 PM,47.52010,-122.31760
10/27/2009,2:47:36 PM,47.51923,-122.31642
10/27/2009,2:47:41 PM,47.51833,-122.31522
10/27/2009,2:47:46 PM,47.51748,-122.31400
10/27/2009,2:47:51 PM,47.51662,-122.31278
10/27/2009,2:47:56 PM,47.51577,-122.31158
10/27/2009,2:48:01 PM,47.51495,-122.31040
10/27/2009,2:48:06 PM,47.51412,-122.30922
10/27/2009,2:48:11 PM,47.51330,-122.30803
10/27/2009,2:48:16 PM,47.51250,-122.30688
10/27/2009,2:48:21 PM,47.51170,-122.30572
10/27/2009,2:48:26 PM,47.51088,-122.30457
10/27/2009,2:48:31 PM,47.51005,-122.30342
10/27/2009,2:48:36 PM,47.50913,-122.30237
10/27/2009,2:48:41 PM,47.50815,-122.30147
10/27/2009,2:48:46 PM,47.50712,-122.30073
10/27/2009,2:48:51 PM,47.50605,-122.30018
10/27/2009,2:48:56 PM,47.50495,-122.29970
10/27/2009,2:49:01 PM,47.50387,-122.29927
10/27/2009,2:49:06 PM,47.50278,-122.29880
10/27/2009,2:49:11 PM,47.50175,-122.29828
10/27/2009,2:49:16 PM,47.50068,-122.29768
10/27/2009,2:49:21 PM,47.49962,-122.29708
10/27/2009,2:49:26 PM,47.49868,-122.29637
10/27/2009,2:49:31 PM,47.49792,-122.29528
10/27/2009,2:49:36 PM,47.49740,-122.29402
10/27/2009,2:49:41 PM,47.49718,-122.29302
10/27/2009,2:49:46 PM,47.49708,-122.29190
10/27/2009,2:49:51 PM,47.49712,-122.29083
10/27/2009,2:49:56 PM,47.49725,-122.28977
10/27/2009,2:50:01 PM,47.49738,-122.28852
10/27/2009,2:50:06 PM,47.49735,-122.28720
10/27/2009,2:50:11 PM,47.49712,-122.28588
10/27/2009,2:50:16 PM,47.49663,-122.28463
10/27/2009,2:50:21 PM,47.49598,-122.28360
10/27/2009,2:50:26 PM,47.49520,-122.28282
10/27/2009,2:50:31 PM,47.49427,-122.28235
10/27/2009,2:50:36 PM,47.49328,-122.28217
10/27/2009,2:50:41 PM,47.49230,-122.28205
10/27/2009,2:50:46 PM,47.49127,-122.28190
10/27/2009,2:50:51 PM,47.49025,-122.28163
10/27/2009,2:50:56 PM,47.48930,-122.28100
10/27/2009,2:51:01 PM,47.48850,-122.28002
10/27/2009,2:51:06 PM,47.48777,-122.27895
10/27/2009,2:51:11 PM,47.48695,-122.27797
10/27/2009,2:51:16 PM,47.48603,-122.27753
10/27/2009,2:51:21 PM,47.48527,-122.27728
10/27/2009,2:51:26 PM,47.48500,-122.27705
10/27/2009,2:51:31 PM,47.48497,-122.27702
10/27/2009,2:51:36 PM,47.48507,-122.27650
10/27/2009,2:51:41 PM,47.48553,-122.27588
10/27/2009,2:51:46 PM,47.48590,-122.27538
10/27/2009,2:51:51 PM,47.48617,-122.27500
10/27/2009,2:51:56 PM,47.48647,-122.27455
10/27/2009,2:52:01 PM,47.48688,-122.27385
10/27/2009,2:52:06 PM,47.48742,-122.27320
10/27/2009,2:52:11 PM,47.48778,-122.27278
10/27/2009,2:52:16 PM,47.48792,-122.27290
10/27/2009,2:52:21 PM,47.48783,-122.27305
10/27/2009,2:52:26 PM,47.48782,-122.27302
10/27/2009,2:52:31 PM,47.48782,-122.27303
10/27/2009,2:52:36 PM,47.48780,-122.27302
10/27/2009,2:52:41 PM,47.48783,-122.27305
10/27/2009,2:52:46 PM,47.48785,-122.27313
10/27/2009,2:52:51 PM,47.48785,-122.27323
10/27/2009,2:52:56 PM,47.48787,-122.27327
10/27/2009,2:53:01 PM,47.48787,-122.27325
